Player_ID,Name,Base Price,Role_Auction,Price_Cr,Cost IN $ (000),Team,Role_Stats,ValueinCR,National Side,MatchPlayed,InningsBatted,NotOuts,RunsScored,100s,50s,4s,6s,BattingAVG,BattingS/R,CatchesTaken,StumpingsMade,Ducks,InningsBowled,Overs,Maidens,RunsConceded,Wickets,3s,5s,BowlingAVG,EconomyRate,S/R,Mtc,Cost_per_Run,Cost_per_Wicket,ROI,Price_z
141,sanjay yadav,20 Lakh,ALL-ROUNDER,0.5,65.0,Mumbai Indians,All-Rounder,0.5,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.5,0.5,0.0,-0.7765423218385185
142,arjun tendulkar,20 Lakh,ALL-ROUNDER,0.3,39.0,Mumbai Indians,All-Rounder,0.3,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.3,0.3,0.0,-0.8222372057283399
143,basil thampi,30 Lakh,BOWLER,0.3,39.0,Mumbai Indians,Bowler,0.3,India,20,8,7,32,0,0,1,1,32.0,91.42,4,0,2,20,70.5,0,694,17,1,0,40.82,9.79,25.0,20,0.01,0.02,1470.0,-0.8222372057283399
144,anmolpreet singh,20 Lakh,BATTER,0.2,26.0,Mumbai Indians,Batsman,0.2,India,1,1,0,16,0,0,2,1,16.0,114.28,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.01,0.2,40.0,-0.8450846476732506
145,aryan juyal,20 Lakh,WICKETKEEPER,0.2,26.0,Mumbai Indians,Wicket-Keeper,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
146,ramandeep singh,20 Lakh,ALL-ROUNDER,0.2,26.0,Mumbai Indians,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
147,rahul buddhi,20 Lakh,BATTER,0.2,26.0,Mumbai Indians,Batsman,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
148,hrithik shokeen,20 Lakh,ALL-ROUNDER,0.2,26.0,Mumbai Indians,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
149,virat kohli,Retained,BATTER,15.0,1950.0,Royal Challengers Bangalore,Batsman,15.0,India,207,199,31,6283,5,42,546,210,37.39,129.94,84,0,6,26,41.5,0,368,4,0,0,92.0,8.79,62.75,26,0.0,3.75,216.1,2.5363367601735387
150,glenn maxwell,Retained,ALL-ROUNDER,11.0,1430.0,Royal Challengers Bangalore,All-Rounder,11.0,Australia,97,93,13,2018,0,12,166,112,25.22,151.84,35,0,12,56,107.0,0,915,22,0,0,41.59,8.55,29.18,56,0.01,0.5,141.73,1.622439082377109
151,wanindu hasaranga,1 Cr,ALL-ROUNDER,10.75,1397.5,Royal Challengers Bangalore,All-Rounder,10.75,Sri Lanka,2,2,1,1,0,0,0,0,1.0,50.0,0,0,1,2,6.0,0,60,1,0,0,0.0,10.0,0.0,2,10.75,10.75,2.37,1.5653204775148324
152,harshal patel,2 Cr,ALL-ROUNDER,10.75,1397.5,Royal Challengers Bangalore,All-Rounder,10.75,India,63,28,11,187,0,0,11,11,11.0,134.53,15,0,9,61,210.4,0,1808,78,6,1,23.17,8.58,16.2,61,0.06,0.14,190.09,1.5653204775148324
153,josh hazlewood,2 Cr,BOWLER,7.75,1007.5,Royal Challengers Bangalore,Bowler,7.75,Australia,12,0,0,0,0,0,0,0,0.0,0.0,1,0,0,12,45.0,0,357,12,1,0,29.75,7.93,22.5,12,7.75,0.65,38.71,0.8798972191675102
154,faf du plessis,2 Cr,BATTER,7.0,910.0,Royal Challengers Bangalore,Batsman,7.0,South Africa,100,93,9,2935,0,22,265,96,34.94,131.08,66,0,5,1,1.0,0,16,1,0,0,0.0,16.0,0.0,1,0.0,7.0,213.21,0.7085414045806797
155,mohammed siraj,Retained,BOWLER,7.0,910.0,Royal Challengers Bangalore,Bowler,7.0,India,50,15,10,66,0,0,5,2,13.2,86.84,16,0,5,50,171.2,4,1437,50,3,0,28.74,8.38,20.56,50,0.11,0.14,183.29,0.7085414045806797
156,dinesh karthik,2 Cr,WICKETKEEPER,5.5,715.0,Royal Challengers Bangalore,Wicket-Keeper,5.5,India,213,192,35,4046,0,19,399,112,25.77,129.72,123,32,14,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,5.5,367.82,0.36582977540701855
157,anuj rawat,20 Lakh,WICKETKEEPER,3.4,442.0,Royal Challengers Bangalore,Wicket-Keeper,3.4,India,2,1,0,1,0,0,0,0,0.0,0.0,3,0,1,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,3.4,3.4,0.15,-0.11396650543610698
158,david willey,2 Cr,ALL-ROUNDER,2.0,260.0,Royal Challengers Bangalore,All-Rounder,2.0,England,3,0,0,0,0,0,0,0,0.0,0.0,2,0,0,3,10.0,0,95,2,0,0,47.5,9.5,30.0,3,2.0,1.0,25.0,-0.43383069266485735
159,sherfane rutherford,1 Cr,ALL-ROUNDER,1.0,130.0,Royal Challengers Bangalore,All-Rounder,1.0,West Indies,7,7,2,73,0,0,2,7,14.6,135.18,5,0,0,6,6.5,0,59,1,0,0,59.0,8.63,41.0,6,0.01,1.0,61.5,-0.6623051121139647
160,mahipal lomror,40 Lakh,ALL-ROUNDER,0.95,123.5,Royal Challengers Bangalore,All-Rounder,0.95,India,11,10,2,181,0,0,8,9,22.62,119.86,1,0,0,6,10.0,0,74,1,0,0,74.0,7.4,60.0,6,0.01,0.95,121.58,-0.6737288330864202
161,finn allen,50 Lakh,BATTER,0.8,104.0,Royal Challengers Bangalore,Batsman,0.8,New Zealand,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.8,0.8,0.0,-0.7079999960037862
162,jason behrendorff,75 Lakh,BOWLER,0.75,97.5,Royal Challengers Bangalore,Bowler,0.75,Australia,5,0,0,0,0,0,0,0,0.0,0.0,0,0,0,5,19.0,0,165,5,0,0,33.0,8.68,22.8,5,0.75,0.15,166.67,-0.7194237169762416
163,karn sharma,50 Lakh,BOWLER,0.5,65.0,Royal Challengers Bangalore,Bowler,0.5,India,68,35,14,317,0,0,18,14,15.09,115.69,14,0,2,66,203.4,1,1610,59,2,0,27.28,7.9,20.71,66,0.0,0.01,3267.0,-0.7765423218385185
164,suyash prabhudessai,20 Lakh,ALL-ROUNDER,0.3,39.0,Royal Challengers Bangalore,All-Rounder,0.3,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.3,0.3,0.0,-0.8222372057283399
165,chama milind,20 Lakh,BOWLER,0.25,32.5,Royal Challengers Bangalore,Bowler,0.25,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.25,0.25,0.0,-0.8336609267007953
166,akash deep,20 Lakh,BOWLER,0.2,26.0,Royal Challengers Bangalore,Bowler,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
167,aneeshwar gautam,20 Lakh,ALL-ROUNDER,0.2,26.0,Royal Challengers Bangalore,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
168,luvnith sisodia,20 Lakh,WICKETKEEPER,0.2,26.0,Royal Challengers Bangalore,Wicket-Keeper,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
169,sanju samson,Retained,WICKETKEEPER,14.0,1820.0,Rajasthan Royals,Wicket-Keeper,14.0,India,121,117,12,3068,3,15,236,132,29.21,134.2,59,10,8,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,14.0,109.57,2.3078623407244314
170,jos buttler,Retained,WICKETKEEPER,10.0,1300.0,Rajasthan Royals,Wicket-Keeper,10.0,England,65,64,8,1968,1,11,194,90,35.14,150.0,34,1,1,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.01,10.0,98.4,1.3939646629280018
171,prasidh krishna,1 Cr,BOWLER,10.0,1300.0,Rajasthan Royals,Bowler,10.0,India,34,7,5,3,0,0,0,0,1.5,25.0,7,0,5,34,124.2,0,1152,30,2,0,38.4,9.26,24.86,34,3.33,0.33,75.15,1.3939646629280018
172,shimron hetmyer,1.5 Cr,BATTER,8.5,1105.0,Rajasthan Royals,Batsman,8.5,West Indies,31,29,9,517,0,2,34,31,25.85,151.17,14,0,3,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.02,8.5,30.41,1.0512530337543406
173,trent boult,2 Cr,BOWLER,8.0,1040.0,Rajasthan Royals,Bowler,8.0,New Zealand,62,10,7,13,0,0,0,1,4.33,68.42,23,0,6,62,236.1,5,1983,76,5,0,26.09,8.39,18.64,62,0.62,0.11,238.31,0.937015824029787
174,devdutt padikkal,2 Cr,BATTER,7.75,1007.5,Rajasthan Royals,Batsman,7.75,India,29,29,1,884,1,6,95,22,31.57,125.03,15,0,2,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.01,7.75,57.03,0.8798972191675102
175,yuzvendra chahal,2 Cr,BOWLER,6.5,845.0,Rajasthan Royals,Bowler,6.5,India,114,18,12,32,0,0,0,0,5.33,41.02,24,0,5,113,408.0,4,3097,139,9,0,22.28,7.59,17.61,113,0.2,0.05,537.08,0.594304194856126
176,riyan parag,30 Lakh,ALL-ROUNDER,3.8,494.0,Rajasthan Royals,All-Rounder,3.8,India,30,23,3,339,0,1,29,12,16.95,118.53,12,0,3,15,22.1,0,221,3,0,0,73.66,9.96,44.33,15,0.01,1.27,64.34,-0.022576737656464042
177,navdeep saini,75 Lakh,BOWLER,2.6,338.0,Rajasthan Royals,Bowler,2.6,India,28,6,3,31,0,0,3,0,10.33,88.57,6,0,1,28,97.4,1,828,17,0,0,48.7,8.47,34.47,28,0.08,0.15,169.42,-0.29674604099539287
178,nathan coulter-nile,2 Cr,BOWLER,2.0,260.0,Rajasthan Royals,Bowler,2.0,Australia,38,16,5,81,0,0,7,4,7.36,115.71,12,0,1,37,139.5,1,1052,48,5,0,21.91,7.52,17.47,37,0.02,0.04,620.25,-0.43383069266485735
179,james neesham,1.5 Cr,ALL-ROUNDER,1.5,195.0,Rajasthan Royals,All-Rounder,1.5,New Zealand,12,8,1,61,0,0,3,2,8.71,92.42,1,0,2,12,33.0,0,305,8,1,0,38.12,9.24,24.75,12,0.02,0.19,153.67,-0.548067902389411
180,karun nair,50 Lakh,BATTER,1.4,182.0,Rajasthan Royals,Batsman,1.4,India,73,66,5,1480,0,10,160,39,24.26,128.36,22,0,3,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,1.4,528.57,-0.5709153443343218
181,rassie van der dussen,1 Cr,BATTER,1.0,130.0,Rajasthan Royals,Batsman,1.0,South Africa,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,1.0,1.0,0.0,-0.6623051121139647
182,obed mccoy,75 Lakh,BOWLER,0.75,97.5,Rajasthan Royals,Bowler,0.75,West Indies,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.75,0.75,0.0,-0.7194237169762416
183,daryl mitchell,75 Lakh,ALL-ROUNDER,0.75,97.5,Rajasthan Royals,All-Rounder,0.75,New Zealand,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.75,0.75,0.0,-0.7194237169762416
184,anunay singh,20 Lakh,ALL-ROUNDER,0.2,26.0,Rajasthan Royals,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
185,kuldeep sen,20 Lakh,BOWLER,0.2,26.0,Rajasthan Royals,Bowler,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
186,dhruv jurel,20 Lakh,WICKETKEEPER,0.2,26.0,Rajasthan Royals,Wicket-Keeper,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
187,tejas baroka,20 Lakh,BOWLER,0.2,26.0,Rajasthan Royals,Bowler,0.2,India,1,0,0,0,0,0,0,0,0.0,0.0,0,0,0,1,3.3,0,33,1,0,0,0.0,9.42,0.0,1,0.2,0.2,125.0,-0.8450846476732506
188,kuldip yadav,20 Lakh,BOWLER,0.2,26.0,Rajasthan Royals,Bowler,0.2,India,1,1,1,1,0,0,0,0,0.0,0.0,0,0,1,1,2.0,0,16,1,0,0,0.0,8.0,0.0,1,0.2,0.2,127.5,-0.8450846476732506
189,shubham garhwal,20 Lakh,ALL-ROUNDER,0.2,26.0,Rajasthan Royals,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
190,kane williamson,Retained,BATTER,14.0,1820.0,Sunrisers Hyderabad,Batsman,14.0,New Zealand,63,62,15,1885,0,17,165,56,40.1,131.26,29,0,1,2,3.0,0,31,1,0,0,0.0,10.33,0.0,2,0.01,14.0,69.11,2.3078623407244314
191,nicholas pooran,1.5 Cr,WICKETKEEPER,10.75,1397.5,Sunrisers Hyderabad,Wicket-Keeper,10.75,West Indies,33,31,4,606,0,2,35,44,22.44,154.98,11,0,5,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.02,10.75,28.19,1.5653204775148324
192,washington sundar,1.5 Cr,ALL-ROUNDER,8.75,1137.5,Sunrisers Hyderabad,All-Rounder,8.75,India,42,26,10,217,0,0,17,6,13.56,111.28,9,0,4,41,125.0,1,867,27,2,0,32.11,6.93,27.77,41,0.04,0.32,89.54,1.1083716386166176
193,rahul tripathi,40 Lakh,BATTER,8.5,1105.0,Sunrisers Hyderabad,Batsman,8.5,India,62,60,7,1385,0,7,136,48,26.13,136.31,23,0,1,1,1.0,0,12,1,0,0,0.0,12.0,0.0,1,0.01,8.5,84.41,1.0512530337543406
194,romario shepherd,75 Lakh,ALL-ROUNDER,7.75,1007.5,Sunrisers Hyderabad,All-Rounder,7.75,West Indies,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,7.75,7.75,0.0,0.8798972191675102
195,abhishek sharma,20 Lakh,ALL-ROUNDER,6.5,845.0,Sunrisers Hyderabad,All-Rounder,6.5,India,22,20,6,241,0,0,17,12,17.21,139.3,5,0,0,14,22.0,0,176,7,0,0,25.14,8.0,18.85,14,0.03,0.93,45.46,0.594304194856126
196,marco jansen,50 Lakh,ALL-ROUNDER,4.2,546.0,Sunrisers Hyderabad,All-Rounder,4.2,South Africa,2,2,0,1,0,0,0,0,0.0,0.0,1,0,2,2,6.0,0,45,2,0,0,22.5,7.5,18.0,2,4.2,2.1,12.02,0.06881303012317899
197,bhuvneshwar kumar,2 Cr,BOWLER,4.2,546.0,Sunrisers Hyderabad,Bowler,4.2,India,132,51,25,217,0,0,20,3,8.34,96.87,27,0,9,132,491.3,9,3588,142,9,1,25.26,7.3,20.76,132,0.02,0.03,871.07,0.06881303012317899
198,abdul samad,Retained,ALL-ROUNDER,4.0,520.0,Sunrisers Hyderabad,Batsman,4.0,India,23,18,4,222,0,0,12,14,15.85,146.05,13,0,2,4,8.0,0,105,2,0,0,52.5,13.12,24.0,4,0.02,2.0,40.25,0.02311814623335748
199,umran malik,Retained,BOWLER,4.0,520.0,Sunrisers Hyderabad,Bowler,4.0,India,3,0,0,0,0,0,0,0,0.0,0.0,0,0,0,3,12.0,0,96,2,0,0,48.0,8.0,36.0,3,4.0,2.0,12.5,0.02311814623335748
200,kartik tyagi,20 Lakh,BOWLER,4.0,520.0,Sunrisers Hyderabad,Bowler,4.0,India,14,5,3,6,0,0,0,0,3.0,60.0,3,0,1,14,52.1,0,491,13,0,0,37.76,9.41,24.07,14,0.67,0.31,82.0,0.02311814623335748
201,aiden markram,1 Cr,BATTER,2.6,338.0,Sunrisers Hyderabad,Batsman,2.6,South Africa,6,6,1,146,0,0,12,4,29.2,122.68,3,0,0,2,4.0,0,23,1,0,0,0.0,5.75,0.0,2,0.02,2.6,37.69,-0.29674604099539287
202,sean abbott,75 Lakh,BOWLER,2.4,312.0,Sunrisers Hyderabad,Bowler,2.4,Australia,2,2,0,15,0,0,1,1,7.5,115.38,0,0,0,2,5.0,0,57,1,0,0,0.0,11.4,0.0,2,0.16,2.4,13.54,-0.3424409248852144
203,glenn phillips,1.5 Cr,WICKETKEEPER,1.5,195.0,Sunrisers Hyderabad,Wicket-Keeper,1.5,New Zealand,3,3,1,26,0,0,1,2,13.0,78.78,1,0,0,2,2.0,0,20,1,0,0,20.0,10.0,12.0,2,0.06,1.5,25.33,-0.548067902389411
204,shreyas gopal,20 Lakh,BOWLER,0.75,97.5,Sunrisers Hyderabad,Bowler,0.75,India,48,21,7,171,0,0,17,2,12.21,105.55,11,0,4,47,155.1,1,1247,48,4,0,25.97,8.03,19.39,47,0.0,0.02,1714.0,-0.7194237169762416
205,vishnu vinod,20 Lakh,WICKETKEEPER,0.5,65.0,Sunrisers Hyderabad,Wicket-Keeper,0.5,India,3,3,0,19,0,0,1,1,6.33,73.07,0,2,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.03,0.5,19.0,-0.7765423218385185
206,fazalhaq farooqi,50 Lakh,BOWLER,0.5,65.0,Sunrisers Hyderabad,Bowler,0.5,Afghanistan,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.5,0.5,0.0,-0.7765423218385185
207,priyam garg,20 Lakh,BATTER,0.2,26.0,Sunrisers Hyderabad,Batsman,0.2,India,19,15,1,205,0,1,11,7,14.64,110.81,6,0,2,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,0.2,512.5,-0.8450846476732506
208,jagadeesha suchith,20 Lakh,BOWLER,0.2,26.0,Sunrisers Hyderabad,Bowler,0.2,India,17,8,6,68,0,0,6,3,34.0,128.3,9,0,2,16,52.0,0,462,12,0,0,38.5,8.88,26.0,16,0.0,0.02,1670.0,-0.8450846476732506
209,shashank singh,20 Lakh,ALL-ROUNDER,0.2,26.0,Sunrisers Hyderabad,All-Rounder,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
210,saurabh dubey,20 Lakh,BOWLER,0.2,26.0,Sunrisers Hyderabad,Bowler,0.2,India,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0.0,0.0,0.0,0,0.2,0.2,0.0,-0.8450846476732506
211,lalit yadav,20 Lakh,BOWLER,0.0,0.0,Unsold,All-Rounder,0.65,India,7,5,3,68,0,0,7,0,34.0,93.15,5,0,1,5,14.0,0,101,4,0,0,25.25,7.21,21.0,5,0.0,0.0,inf,-0.8907795315630721
